"Date of Download: 2024-03-12_14:57:18"
"Search Parameters: Data Level:all  Trait List:  Trial List:10542,11501,11827,11750,11751  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","hydrogen cyanide ug/g wet basis|month 10|COMP:0000322","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","lodged plants estimation 1-3|month 6|COMP:0000208","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2250667","GM11470-9","","plot","4825604","202224BCEAR_cere_rep1_GM11470-9_16","1","1","16","4","1","test","","3.9","5.6","17","8.9","4","1","32.5409708078751","35.5","60","12.6984126984127","6.4","1","","3","1","","3","1.3","6","20","4","280","20","6","3","2","3","1","","3250","304","25","16","3","3","3","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","323717","GM3426-5","","plot","4825577","202224BCEAR_cere_rep1_GM3426-5_10","1","1","10","3","2","check","","","","9.2","3","5","1","31.4082463465553","35.5","130","18.6507936507936","9.4","1","","5","1","","6","3.55","12","20","1","190","40","5","3","2","3","2","","4200","368","34","18","2","1","1","5"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","323717","GM3426-5","","plot","4825582","202224BCEAR_cere_rep1_GM3426-5_23","1","1","23","6","2","check","","5.4","12.2","9.9","4","4","1","33.6968073292615","37.7","140","20.5952380952381","10.38","1","","5","1","","12","4.95","10","20","2","260","20","5","3","1","4","2","","4000","398","33","19","3","3","2","5"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2169322","GM4486-11","","plot","4825551","202224BCEAR_cere_rep1_GM4486-11_11","1","1","11","3","3","test","","5.5","8.5","16.7","10.9","0","1","34.1812345339565","38.6","220","18.5515873015873","9.35","1","","4","1","","12","5.7","8","20","2","220","40","6","3","1","2","2","","4050","413","26","20","3","3","1","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2169346","GM8560-13","","plot","4825545","202224BCEAR_cere_rep1_GM8560-13_20","1","1","20","5","4","test","","1.2","1.8","15.9","8.2","1","1","33.4399193548387","33.8","240","24.4047619047619","12.3","1","","4","1","","11","6.15","8","20","1","290","50","6","3","1","2","2","","3850","378","23","19","1","1","1","5"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2169481","GM9404-1","","plot","4825576","202224BCEAR_cere_rep1_GM9404-1_7","1","1","7","2","2","test","","6.1","7.5","14.2","9.2","2","1","32.3506050129645","37.8","120","15.8730158730159","8","1","","5","1","","15","3.9","8","20","2","260","40","5","3","1","4","3","","3825","354","24","19","2","3","1","4"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","323773","SM3536-44","","plot","4825601","202224BCEAR_cere_rep1_SM3536-44_12","1","1","12","3","4","test","","3.8","6","11.4","5.5","2","1","34.0390125173852","37.4","120","21.4285714285714","10.8","1","","4","1","","10","6.2","10","20","1","170","20","6","3","2","3","1","","4000","405","24","17","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2170553","SM4569-17","","plot","4825539","202224BCEAR_cere_rep1_SM4569-17_27","1","1","27","7","3","test","","3","4.4","16.9","9.7","1","1","31.8995689655172","37.8","90","20.4365079365079","10.3","1","","5","1","","11","5.1","8","20","2","220","30","6","3","2","3","3","","3825","345","30","20","3","3","1","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2174907","SM4850-8","","plot","4825566","202224BCEAR_cere_rep1_SM4850-8_35","1","1","35","9","3","test","","4.1","8.2","14","7.4","5","1","34.2407501410039","38.2","120","25.3968253968254","12.8","1","","5","1","","15","5.55","10","20","1","300","20","6","3","1","4","3","","3950","404","43","20","3","3","1","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2175374","SM4891-13","","plot","4825513","202224BCEAR_cere_rep1_SM4891-13_30","1","1","30","8","3","test","","4.2","7.9","15","7.6","2","1","34.8050446998723","35.1","30","11.9047619047619","6","1","","4","1","","4","1.55","8","20","2","240","40","4","3","2","2","2","","3500","368","18","18","3","2","1","4"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2251040","SM4897-22","","plot","4825569","202224BCEAR_cere_rep1_SM4897-22_36","1","1","36","9","4","test","","2.8","4","16.4","11.2","3","1","30.5886730424387","34.5","170","13.9880952380952","7.05","1","","4","1","","8","3.5","12","20","2","210","50","5","3","2","2","1","","3650","304","15","17","2","3","1","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2175421","SM4922-6","","plot","4825583","202224BCEAR_cere_rep1_SM4922-6_15","1","1","15","4","2","test","","1.9","2.4","16.4","9.3","1","1","34.2249082007344","33.3","120","32.1428571428571","16.2","1","","4","1","","20","9.05","6","20","4","240","20","6","3","1","2","1","","4550","465","40","19","1","3","2","7"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2175520","SM4952-5","","plot","4825563","202224BCEAR_cere_rep1_SM4952-5_28","1","1","28","7","4","test","","5","7.3","14.8","8.7","2","1","38.1242123378342","41.9","100","19.1468253968254","9.65","1","","5","1","","10","5.25","8","20","2","230","20","5","3","2","3","2","","4300","523","25","20","2","3","1","7"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2251084","SM4955-23","","plot","4825589","202224BCEAR_cere_rep1_SM4955-23_3","1","1","3","1","3","test","","3.2","4.6","17.9","10","0","1","28.4769377824122","35.3","290","14.8809523809524","7.5","1","","5","1","","12","4.85","12","20","1","290","40","4","3","1","3","3","","3100","223","20","15","2","3","1","5"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2251086","SM4956-10","","plot","4825602","202224BCEAR_cere_rep1_SM4956-10_13","1","1","13","4","4","test","","2","4.6","14.1","8.3","3","1","34.5039995252789","31.2","140","24.5039682539683","12.35","1","","4","1","","18","9.5","10","20","1","190","30","6","3","1","2","2","","4700","487","17","19","1","3","1","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2175535","SM4956-6","","plot","4825524","202224BCEAR_cere_rep1_SM4956-6_18","1","1","18","5","2","test","","1.9","3","14.8","8.3","1","1","30.3853772167117","35.1","130","18.1547619047619","9.15","1","","5","1","","9","5.35","10","20","2","320","50","5","3","1","3","2","","3625","298","18","18","1","3","1","8"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2251091","SM4957-2","","plot","4825522","202224BCEAR_cere_rep1_SM4957-2_33","1","1","33","9","1","test","","","","16","10.6","5","1","24.3958620689655","32.8","80","4.76190476190476","2.4","1","","4","1","","3","1.8","8","20","4","230","30","4","2","1","4","1","","1525","75","4","14","1","3","3","8"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2251098","SM4963-25","","plot","4825560","202224BCEAR_cere_rep1_SM4963-25_29","1","1","29","8","4","test","","","","15.5","10.2","1","1","35.5485037406484","37.6","110","21.9246031746032","11.05","1","","5","1","","13","9.2","10","20","2","230","5","4","3","1","2","2","","4500","490","9","20","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2175566","SM4989-6","","plot","4825564","202224BCEAR_cere_rep1_SM4989-6_19","1","1","19","5","3","test","","2.4","4.8","15.4","8.8","0","1","32.6084917228694","34.8","320","14.0873015873016","7.1","1","","5","1","","14","5.2","10","20","1","320","40","4","3","1","2","1","","3600","338","13","17","3","3","1","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2251113","SM4993-9","","plot","4825605","202224BCEAR_cere_rep1_SM4993-9_5","1","1","5","2","4","test","","1.7","2.5","18.8","12.7","2","1","33.0051458800898","31.8","110","13.2936507936508","6.7","1","","4","1","","12","4.1","8","20","3","170","30","5","3","1","4","2","","3450","331","16","14","3","3","1","4"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2251117","SM5007-37","","plot","4825519","202224BCEAR_cere_rep1_SM5007-37_9","1","1","9","3","1","test","","2.5","3.5","16.3","9.6","5","1","31.2100479904019","38.4","110","13.4920634920635","6.8","1","","5","1","","11","4.7","10","20","2","140","40","5","3","1","3","3","","3650","316","13","17","2","3","1","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2175593","SM5008-19","","plot","4825567","202224BCEAR_cere_rep1_SM5008-19_26","1","1","26","7","2","test","","","","15.9","8.9","3","1","30.9387570268582","34.9","100","11.4087301587302","5.75","1","","5","2","","2","0.95","10","20","4","210","20","4","3","1","2","2","","3500","298","30","12","1","3","1","6"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2251118","SM5008-25","","plot","4825588","202224BCEAR_cere_rep1_SM5008-25_31","1","1","31","8","2","test","","","","14.7","10.1","6","1","29.0418918918919","33.9","90","3.96825396825397","2","1","","3","1","","4","1.8","8","20","2","250","20","1","3","1","2","2","","400","30","2","3","1","3","2","5"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2251121","SM5008-33","","plot","4825508","202224BCEAR_cere_rep1_SM5008-33_21","1","1","21","6","4","test","","","","9.2","3.2","0","1","35.0371613663133","36","260","18.452380952381","9.3","1","","5","1","","10","4.4","10","20","2","260","40","4","3","1","3","3","","3800","404","25","17","3","3","1","4"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","236646","SMB2446-2","Caiseli,Caiselli,CAISELLI","plot","4825550","202224BCEAR_cere_rep1_SMB2446-2_32","1","1","32","8","1","check","","","","","","0","1","37.1122641509434","","190","21.6269841269841","10.9","1","","5","1","","8","4.3","8","20","2","190","40","6","3","1","2","1","","4200","490","32","17","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","147207","TAI8","Tai8","plot","4825561","202224BCEAR_cere_rep1_TAI8_14","1","1","14","4","3","check","","","","","","0","1","39.2690535491905","","170","33.3333333333333","16.8","1","","4","1","","17","11.1","6","20","2","170","30","6","1","1","2","2","","4600","585","33","18","1","3","1","2"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","139257","CG1141-1","","plot","4825558","202224BCEAR_cere_rep2_CG1141-1_55","2","2","55","5","7","check","","","","2.3","1.6","0","1","38.466639828234","38.6","190","22.4206349206349","11.3","1","","5","1","","12","7","8","20","2","190","40","6","3","1","3","1","","4250","524","28","20","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","139257","CG1141-1","","plot","4825507","202224BCEAR_cere_rep2_CG1141-1_61","2","2","61","7","5","check","","","","","","0","1","39.3050046772685","","160","20.0396825396825","10.1","1","","4","1","","15","7.45","8","20","2","160","20","5","3","1","3","1","","4900","624","14","19","1","1","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","139268","CM4919-1","","plot","4825518","202224BCEAR_cere_rep2_CM4919-1_43","2","2","43","2","6","check","","2.5","5","3","1.6","0","1","37.6906633221851","39","170","33.6309523809524","16.95","1","","4","1","","19","12.25","8","20","2","170","50","6","3","1","2","3","","4075","487","23","20","1","3","1","4"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","139299","COL2215","","plot","4825525","202224BCEAR_cere_rep2_COL2215_46","2","2","46","3","6","check","","","","","","4","1","43.3733110164333","","100","25.7936507936508","13","1","","5","1","","14","9.65","10","20","3","230","40","6","3","1","2","1","","3850","564","21","20","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","139299","COL2215","","plot","4825559","202224BCEAR_cere_rep2_COL2215_52","2","2","52","4","5","check","","","","","","3","1","38.7227272727272","","100","26.3888888888889","13.3","1","","","1","","18","10.4","8","20","3","220","30","6","3","1","1","1","","4850","604","17","18","1","1","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10542","202224BCEAR_cere","202224BCEAR_cere","RCBD","4.8","3.5","","no","no","2022-June-03","2023-April-10","64","Cerete. Cordoba, Colombia","2169244","GM10299-1","","plot","4825531","202224BCEAR_cere_rep2_GM10299-1_50","2","2","50","4","7","test","","1.5","2.1","14.9","11.5","1","1","28.0328309305373","30.8","120","40.8730158730159","20.6","1","","5","2","","21","11.45","14","20","3","290","50","6","3","1","1","2","","4100","285","45","14","1","3","1","8"," (Operator: lizbethpino, Time: )"
